time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1975-01-04T09:22:04.600Z,36.28,-89.46,5,2.1,mlg,,,,,nm,nm600148,2016-04-14T12:43:32.480Z,"3km NE of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1975-01-10T15:31:00.800Z,38.2,-91.035,0,3.2,lg,,,,,us,usp00009fb,2014-11-06T23:21:28.336Z,"Missouri",explosion,,,,,reviewed,j,slm
1975-01-23T06:59:06.900Z,35.95,-89.98,5,2.1,mlg,,,,,nm,nm600155,2016-04-14T12:44:15.030Z,"1km SSW of Gosnell, Arkansas",earthquake,,,,,reviewed,nm,nm
1975-01-23T08:05:41.500Z,36.16,-89.78,5,2.2,mlg,,,,,nm,nm600156,2016-04-14T12:44:21.100Z,"8km SSW of Hayti, Missouri",earthquake,,,,,reviewed,nm,nm
1975-01-26T07:36:29.000Z,36.74,-89.49,13,2.3,mlg,,,,,nm,nm600157,2016-04-14T12:44:27.180Z,"10km WSW of East Prairie, Missouri",earthquake,,,,,reviewed,nm,nm
1975-01-29T06:44:21.900Z,37.8,-89.3,5,2.3,mlg,,,,,nm,nm600158,2016-04-14T12:44:33.260Z,"5km NE of Murphysboro, Illinois",earthquake,,,,,reviewed,nm,nm
1975-01-30T07:38:21.600Z,36.42,-89.54,5,2.1,mlg,,,,,nm,nm600159,2016-04-14T12:44:39.340Z,"7km NW of Tiptonville, Tennessee",earthquake,,,,,reviewed,nm,nm
1975-02-01T16:04:24.500Z,36.05,-89.87,5,2.1,mlg,,,,,nm,nm600161,2016-04-14T12:44:51.500Z,"5km SW of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
1975-02-03T10:35:28.500Z,38.06,-89.05,5,2.1,mlg,,,,,nm,nm600162,2016-04-14T12:44:57.590Z,"3km S of Sesser, Illinois",earthquake,,,,,reviewed,nm,nm
1975-02-13T19:43:57.500Z,36.53,-89.56,5,3.3,mlg,,,,,nm,nm600167,2016-04-14T12:45:28.140Z,"6km SSW of New Madrid, Missouri",earthquake,,,,,reviewed,nm,nm
1975-02-23T00:17:04.700Z,38.4,-90.13,5,2.1,mlg,,,,,nm,nm600174,2016-04-14T12:46:10.710Z,"7km NNE of Waterloo, Illinois",earthquake,,,,,reviewed,nm,nm
1975-03-08T15:02:43.600Z,36.51,-89.55,5,2.2,mlg,,,,,nm,nm600180,2016-04-14T12:46:47.200Z,"8km SSW of New Madrid, Missouri",earthquake,,,,,reviewed,nm,nm
1975-03-10T05:24:06.400Z,36.08,-90.01,5,2.1,mlg,,,,,nm,nm600182,2016-04-14T12:46:59.350Z,"13km NNW of Gosnell, Arkansas",earthquake,,,,,reviewed,nm,nm
1975-04-04T03:04:43.900Z,36.67,-89.54,5,2.1,mlg,,,,,nm,nm600192,2016-04-14T12:48:00.140Z,"9km N of New Madrid, Missouri",earthquake,,,,,reviewed,nm,nm
1975-04-22T23:30:42.800Z,36.13,-89.75,5,2.1,mlg,,,,,nm,nm600200,2016-04-14T12:48:48.780Z,"8km NE of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
1975-04-23T23:30:42.900Z,37.62,-89.74,5,2.1,mlg,,,,,nm,nm600201,2016-04-14T12:48:54.860Z,"15km SE of Perryville, Missouri",earthquake,,,,,reviewed,nm,nm
1975-05-06T01:11:21.500Z,36.31,-89.58,3,2.3,mlg,,,,,nm,nm600206,2016-04-14T12:49:25.250Z,"9km WNW of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1975-05-12T06:15:53.300Z,36.19,-89.71,5,2.3,mlg,,,,,nm,nm600210,2016-04-14T12:49:49.590Z,"4km W of Caruthersville, Missouri",earthquake,,,,,reviewed,nm,nm
1975-06-01T03:40:11.900Z,36.56,-89.86,5,2.1,mlg,,,,,nm,nm600216,2016-04-14T12:50:26.090Z,"9km E of Malden, Missouri",earthquake,,,,,reviewed,nm,nm
1975-06-13T22:40:27.200Z,36.54,-89.68,2,4.3,mlg,,,,,nm,nm600223,2017-04-13T21:48:47.024Z,"8km SW of Lilbourn, Missouri",earthquake,,,,,reviewed,nm,nm
1975-06-15T01:00:33.600Z,36.22,-89.66,5,2.2,mlg,,,,,nm,nm600224,2016-04-14T12:51:14.800Z,"3km N of Caruthersville, Missouri",earthquake,,,,,reviewed,nm,nm
1975-06-17T20:23:59.300Z,36.29,-89.44,5,2.4,mlg,,,,,nm,nm600228,2016-04-14T12:51:39.180Z,"5km NE of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1975-06-20T03:34:48.900Z,38.2,-90.2,5,2.4,mlg,,,,,nm,nm600231,2016-04-14T12:51:57.430Z,"13km SSE of Valmeyer, Illinois",earthquake,,,,,reviewed,nm,nm
1975-06-20T07:29:06.600Z,36.21,-89.44,7.3,3.3,mlg,,,,,nm,nm600232,2016-04-14T12:52:03.520Z,"7km SE of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
